File,1,2,3,4,5,6,7,8
a,5723,5495,3826,3374,3280,3884,5524,5761
b,11081,5767,3682,3345,3296,3808,5849,11473
c,16357,6960,5030,4358,4123,4776,7022,17229
d,23604,8659,6230,5734,5618,6193,8429,22509
e,27583,8029,6294,5874,5947,6213,7948,24621
f,11172,7398,6128,4738,4810,5768,7669,11137
g,7108,4241,3944,3248,3127,3713,4368,7727
h,4066,3368,3310,2939,2932,3051,3671,4337
