File,1,2,3,4,5,6,7,8
a,11334,13500,33000,35175,35849,37173,13300,11778
b,19746,26072,43703,54207,58744,44714,29819,20153
c,32409,31353,95763,81118,76845,96112,32873,33429
d,37634,59954,68646,125596,124720,71957,65450,38661
e,38672,61976,66211,118477,123463,76471,69578,37097
f,26558,30707,115278,71599,68392,115042,33637,28095
g,49033,31387,50281,64842,69265,55710,38084,48200
h,15060,17322,39789,41305,41736,42523,17846,15329
