File,1,2,3,4,5,6,7,8
a,1003,1522,1563,1637,1696,1674,1470,1007
b,3935,3371,3438,3054,3164,3614,3389,3722
c,8726,4924,4603,4218,4296,4860,5274,8419
d,4073,7129,6431,4882,4892,6323,7927,4992
e,3450,9363,7525,5612,5602,7292,10056,4272
f,7813,10740,8078,5985,5852,8309,11601,8284
g,38985,11211,7146,5180,5211,6895,12147,37150
h,8166,7423,3840,3068,2853,3969,6990,7291
