Ply,Pawn,Knight,Bishop,Rook,Queen,King
195,0,0,0,2,2,6
196,1,0,0,1,1,6
197,1,0,0,1,2,5
198,1,0,1,2,1,4
199,1,0,0,1,2,5
200,0,0,1,2,1,5
201,1,0,0,2,1,5
202,1,0,1,2,1,4
203,0,0,0,1,1,4
204,0,0,1,1,0,4
205,0,0,0,2,0,4
206,0,0,1,1,0,4
207,0,0,0,1,2,2
208,0,0,1,2,0,2
209,0,0,0,0,1,4
210,0,0,1,2,0,2
211,0,0,0,2,1,2
212,0,0,1,1,0,2
213,0,0,0,1,1,2
214,0,0,1,2,0,1
215,0,0,0,1,0,3
216,0,0,1,2,0,1
217,0,0,0,0,1,3
218,0,0,1,1,0,1
219,0,0,0,0,1,2
220,0,0,1,1,0,1
221,0,0,0,1,1,1
222,0,0,1,1,0,1
223,0,0,0,1,1,1
224,0,0,1,0,0,0
225,0,0,0,0,0,1
226,0,0,1,0,0,0
227,0,0,0,0,0,1
228,0,0,1,0,0,0
229,0,0,0,0,0,1
230,0,1,0,0,0,0
231,0,0,0,0,0,1
232,0,1,0,0,0,0
233,0,0,0,0,0,1
234,0,1,0,0,0,0
235,0,0,0,0,0,1
236,0,1,0,0,0,0
237,0,0,0,0,0,1
238,0,1,0,0,0,0
239,0,0,0,0,0,1
240,0,1,0,0,0,0
241,0,0,0,0,0,1
242,0,1,0,0,0,0
243,0,0,0,0,0,1
244,0,1,0,0,0,0
245,0,0,0,0,0,1
246,0,1,0,0,0,0
247,0,0,0,0,0,1
248,0,0,1,0,0,0
249,0,0,0,0,0,1
250,0,1,0,0,0,0
251,0,0,0,0,0,1
252,0,1,0,0,0,0
253,0,0,0,0,0,1
254,0,1,0,0,0,0
255,0,0,0,0,0,1
256,0,1,0,0,0,0
257,0,0,0,0,0,1
258,0,1,0,0,0,0
259,0,0,0,0,0,1
260,0,1,0,0,0,0
261,0,0,0,0,0,1
262,0,0,1,0,0,0
263,0,0,0,0,0,1
264,1,0,0,0,0,0
265,0,0,0,0,0,1
266,0,0,0,0,1,0
267,0,0,0,0,0,1
268,1,0,0,0,0,0
269,0,0,0,0,0,1
270,0,0,0,0,1,0
271,0,0,0,0,0,1
272,1,0,0,0,0,0
273,0,0,0,0,0,1
274,0,0,0,0,1,0
275,0,0,0,0,0,1
276,1,0,0,0,0,0
277,0,0,0,0,0,1
278,1,0,0,0,0,0
