File,1,2,3,4,5,6,7,8
a,688,938,3135,3821,4081,3399,1089,811
b,1099,1428,5217,6504,7228,5954,1534,1317
c,1135,3621,42225,10215,10162,41501,3880,1269
d,1710,18333,6757,25619,24763,7124,22321,1707
e,1749,12784,7198,28142,31588,7039,14724,2085
f,2093,3087,55489,9659,10600,52051,4007,2222
g,825,1164,6570,9746,11083,6886,1466,1014
h,387,1951,2979,5061,5550,3804,1910,651
