File,1,2,3,4,5,6,7,8
a,734,1281,17974,18274,18250,20363,1275,674
b,550,1197,17462,25029,27112,17642,1136,524
c,523,1160,26910,35792,37547,27144,1086,456
d,420,1051,18073,67528,67417,26518,1174,450
e,389,963,17965,59381,59811,33261,1162,406
f,410,907,17819,28988,27433,20716,1216,427
g,432,954,20550,22647,22230,26523,1087,445
h,489,956,21446,18670,18609,21237,1127,575
