File,1,2,3,4,5,6,7,8
a,1196,1896,3970,3165,2255,5251,1525,1302
b,1281,9517,6625,11605,13326,4502,13074,950
c,2404,4185,10191,20636,14595,11182,2990,2603
d,2068,11824,20355,10456,10708,16297,14225,2255
e,1480,16525,18928,10762,11397,14970,21917,1568
f,2743,3298,13505,15057,13274,15492,3607,3378
g,512,10159,5413,15728,19304,5636,15079,582
h,611,1552,4359,5057,4252,6438,1670,790
