File,1,2,3,4,5,6,7,8
a,1990,2368,2532,4904,6287,2602,2417,2223
b,1800,4792,7279,4670,4618,9194,4837,2167
c,3264,10503,6804,5899,6122,6649,12621,3453
d,5759,12958,10800,11377,11322,9502,11374,6748
e,4021,14312,8301,8706,9118,7696,13771,4145
f,2327,5277,14259,7172,6423,12706,5537,2647
g,1171,3658,6658,8293,8310,6057,3937,1282
h,1341,2072,3855,6510,7540,4024,2478,1685
